NC;L1;202602;2.0TD;330447;1158540;115221,81;219298,77;0;7216,88;214214,69;1804,27
NC;L2;202602;RL.1;480366;886520;8224,91;95272,06;0;1030,94;17435,3;1290,92
NC;L1;202602;2.0TD;330518;99911;9738,85;19514,13;0;610,18;20814,63;126,44
NC;L1;202602;2.0TD;372745;105223;9279,33;16578,44;0;528,3;13595,75;184,04
NC;L2;202602;RL.1;300434;266001;2495,47;23772,17;0;295,95;5173,66;316,42
NC;L2;202602;RL.1;462508;314315;5858,27;25273,22;0;621,15;7249,52;358,22
NC;L1;202602;2.0TD;280105;6752;339,96;888,93;0;15,12;569,82;9,88
NC;L2;202602;RL.1;082520;39674;428;3033,31;0;42,31;778,66;40,26
NC;L2;202602;RL.1;200090;101153;1152,82;10053,4;0;142,54;1978,25;138,48
NC;L1;202602;2.0TD;010040;970;98,84;197,05;0;6,9;107,38;2,82
NC;L2;202602;RL.2;200322;88818;798,78;8077,04;0;48,44;1654,82;108,31
NC;L2;202602;RL.1;480448;653426;6213,69;60986,68;0;704,83;12881,01;814,81
NC;L2;202602;RL.2;010590;2266550;17611,4;208610,53;0;881,97;40247,34;2789,76
NC;L2;202602;RL.1;170669;152219;1784;12739,18;0;210,22;3156,37;170,48
NC;L1;202602;2.0TD;081017;63951;4636,54;9318,8;0;226,55;4814,20;137,17
NC;L1;202602;2.0TD;061089;5884;218,38;798,21;0;11,11;314,20;10,53
NC;L2;202602;RL.2;480209;1164527;10729,19;111788,78;0;598,23;21700,46;1512,32
NC;L2;202602;RL.1;209029;289397;3286,61;31335,72;0;404,37;6093,64;427,93
NC;L1;202602;2.0TD;410331;1604;94,72;212,93;0;4,07;160,39;2,2
NC;L2;202602;RL.1;330609;172451;1614,75;13566,34;0;199,75;3450,15;175,94
NC;L1;202602;2.0TD;330058;13049;1974,68;2420,84;0;134,32;3909,27;7,26
NC;L1;202602;2.0TD;330595;39361;4277,09;7543,7;0;270,45;8588,85;48,45
NC;L1;202602;2.0TD;030909;27460;1157,54;3657,67;0;52,81;1564,55;48,77
NC;L1;202602;2.0TD;480025;15035;1087,3;2557,95;0;68,14;2076,4;23,49
NC;L1;202602;2.0TD;280800;24027;1806,8;3346,1;0;82,95;2570,79;38,73
NC;L2;202602;RL.2;330560;27531;301,18;2202,22;0;17,91;546,84;29,34
NC;L1;202602;2.0TD;330267;108056;8733,79;20370,67;0;555,39;18642,84;156,9
NC;L1;202602;2.0TD;430516;8159;580,82;1161,22;0;30,1;938,22;12,07
